siret,siren,nom_établissement,nom_entreprise,sigle,siège,effectif,effectifs,date_des_effectifs,chiffre_daffaires,code_naf,libellé_naf,catégorie_naf,date_création,date_fermeture,état_administratif,forme_juridique,microentreprise,taille_dentreprise,ess,subventions,procédure_collective,zonages,local_occupé,diffusible,numéro,voie,code_postal,commune,activités_réelles_et_filières,zones_géographiques,mots-clés,commentaires,effectifs.1
49910359600239,499103596,,(LPL) - CENTRALE RHODANIENNE PNEU (CRP),,non,2,2 salariés,2025.0,Entre 10 M€ et 50 M€,45.20A,Entretien et réparation de véhicules automobiles légers,Entretien et réparation de véhicules automobiles,2019-08-01,,Actif,Société par actions simplifiée,non,ETI,non,,non,Sud Isère (Territoire d'industrie),,oui,18,AVENUE DE LA LOUISIANE,38120,Fontanil-Cornillon,,,,,1 ou 2 salarié(e)s
50983410700013,509834107,@COM.LNCG,@ COM. EXPERTISE  RHONE ALPES-SOCIETE D'EXPERTISE COMPTABLE,,oui,10,10 à 19 salarié(e)s,2025.0,Entre 1 M€ et 10 M€,69.20Z,Activités comptables,Activités comptables,2008-12-03,,Actif,Société à responsabilité limitée (SARL),non,ETI,non,,non,Sud Isère (Territoire d'industrie),,oui,7,ALLEE DU PEROU,38610,Gières,,,,,
50502954600049,505029546,,@AM.DECO AM. DECO,@AM.DECO,non,3,3 à 5 salarié(e)s,2025.0,Données indisponibles,47.59A,Commerce de détail de meubles,"Commerce de détail de meubles, appareils d'éclairage et autres articles de ménage en magasin spécialisé",2015-10-01,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,1,AVENUE DE L'ILE BRUNE,38120,Saint-Égrève,,,,,
84078568700012,840785687,SUSHI GRENOBLE,@KITCHEN,,oui,3,3 à 5 salarié(e)s,2025.0,Données indisponibles,56.10C,Restauration de type rapide,Restaurants et services de restauration mobile,2018-06-12,,Actif,Société par actions simplifiée,non,PME,non,,non,Alma - Très Cloîtres - Chenoise (QPV) ; Alma - Très Cloîtres - Chenoise (QPV 2015) ; Sud Isère (Territoire d'industrie),,oui,19,RUE CHENOISE,38000,Grenoble,,,,,
41778726400056,417787264,,10 COM,,oui,5,3 à 5 salarié(e)s,2025.0,Entre 0 et 5 000 €,73.11Z,Activités des agences de publicité,Activités des agences de publicité,2022-04-20,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,48,RUE DE MORTILLET,38000,Grenoble,,,,,
50856149500021,508561495,,100 TROP BON,,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,81.21Z,Nettoyage courant des bâtiments,Nettoyage courant des bâtiments,2017-03-01,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,3669,RTE DE NAPOLEON,38320,Brié-et-Angonnes,,,,,
40910170600060,409101706,,1001 PILES,,non,28-30,20 à 49 salarié(e)s,2025.0,Entre 10 M€ et 50 M€,46.69A,Commerce de gros (commerce interentreprises) de matériel électrique,Commerce de gros d'autres machines et équipements,2001-01-01,,Actif,Société anonyme à conseil d'administration,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,27,RUE DES GLAIRAUX,38120,Saint-Égrève,,,,,
40910170600250,409101706,,1001 PILES,,non,31-33,20 à 49 salarié(e)s,2025.0,Entre 10 M€ et 50 M€,46.69A,Commerce de gros (commerce interentreprises) de matériel électrique,Commerce de gros d'autres machines et équipements,2010-02-01,,Actif,Société anonyme à conseil d'administration,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,29,RUE DES GLAIRAUX,38120,Saint-Égrève,,,,,
41091104400205,410911044,ARFI,1001 REPAS,,non,2,2 salariés,2025.0,Entre 50 M€ et 100 M€,56.29B,Autres services de restauration n.c.a.,Autres services de restauration,2018-08-01,,Actif,Société par actions simplifiée,non,ETI,non,,non,Sud Isère (Territoire d'industrie),,oui,24,AVENUE DE L'EUROPE 24-26,38100,Grenoble,,,,,1 ou 2 salarié(e)s
41091104400254,410911044,AURHI,1001 REPAS,,non,3,3 à 5 salarié(e)s,2025.0,Entre 50 M€ et 100 M€,56.29B,Autres services de restauration n.c.a.,Autres services de restauration,2019-01-28,,Actif,Société par actions simplifiée,non,ETI,non,,non,Sud Isère (Territoire d'industrie),,oui,34,AVENUE RHIN ET DANUBE 34-40,38100,Grenoble,,,,,
41091104400395,410911044,1001 REPAS - RESTAURANT ENTREPRISE GE DE GRENOBLE,1001 REPAS,,non,3,3 à 5 salarié(e)s,2025.0,Entre 50 M€ et 100 M€,56.29A,Restauration collective sous contrat,Autres services de restauration,2025-02-01,,Actif,Société par actions simplifiée,non,ETI,non,,non,Sud Isère (Territoire d'industrie),,oui,49,RUE FELIX ESCLANGON RESTAURANT D'ENTREPRISE GAZ ELECTRICIT,38000,Grenoble,,,,,
81818778300027,818187783,BAR BRASSERIE LE COQ TAIL,117,,oui,7,6 à 9 salarié(e)s,2025.0,Données indisponibles,56.30Z,Débits de boissons,Débits de boissons,2016-09-06,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,44,RUE DE TURENNE,38000,Grenoble,,,,,
77978703500046,779787035,,12 E REGION:RHONE-DROME,,non,19-21,20 à 49 salarié(e)s,2025.0,Données indisponibles,94.11Z,Activités des organisations patronales et consulaires,Activités des organisations patronales et consulaires,2016-04-01,,Actif,Association loi 1901 ou assimilé,non,PME,oui,,non,Sud Isère (Territoire d'industrie),,oui,129,CRS LIBERATION - GEN DE GAULLE,38000,Grenoble,,,,,
53024243700024,530242437,,1-2-3 AMBULANCE,,oui,16-18,10 à 19 salarié(e)s,2025.0,Données indisponibles,86.90A,Ambulances,Autres activités pour la santé humaine,2022-07-15,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,22,RUE OLYMPE DE GOUGES,38400,Saint-Martin-d'Hères,,,,,
90073198500017,900731985,RESTAURANT 1968,1968,,oui,6,6 à 9 salarié(e)s,2025.0,Données indisponibles,56.10A,Restauration traditionnelle,Restaurants et services de restauration mobile,2021-06-23,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,,AVENUE D'INNSBRUCK PATINOIRE POLE SUD,38100,Grenoble,,,,,
79177827700016,791778277,1 BUTTON,1BUTTON,,oui,1,1 ou 2 salarié(e)s,2025.0,Entre 0 et 5 000 €,62.01Z,Programmation informatique,Programmation informatique,2013-04-01,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,24,RUE LAMARTINE,38320,Eybens,,,,,
34321183500057,343211835,1POINT2,1POINT2,,oui,2,2 salariés,2025.0,Données indisponibles,62.02A,Conseil en systèmes et logiciels informatiques,Conseil informatique,2024-02-08,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,5,RUE AUBERT DUBAYET,38000,Grenoble,,,,,1 ou 2 salarié(e)s
82855545800029,828555458,,1PRO'IMMO,,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,68.31Z,Agences immobilières,Agences immobilières,2023-05-04,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,2,ROUTE DE GRENOBLE,38120,Saint-Égrève,,,,,
49015355800021,490153558,BERRY'S,2 F,,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,68.31Z,Agences immobilières,Agences immobilières,2012-08-01,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,4,RUE DE L'OCTANT,38130,Échirolles,,,,,
