siret_txt,siret,société,nom_historique,naf732,secteur,activité_naf_détaillée_(insee),enseigne,année_de_création_de_létablissement,commune,code_commune_insee,epci,effectifs_2024,date_de_mise_à_jour_des_effectifs,segmentation,sport-montagne,sportdomaine,cleantech,sante,santedomaine,energie,energiedomaine,numerique,num_domaine,chimie,chimiedomaine
39939558100032,39939558-00032,STMICROELECTRONICS CROLLES 2 SAS,STMICROELECTRONICS CROLLES 2,2611Z,Industrie,Composants et cartes électroniques,,2004,CROLLES,38140.0,CC Le Grésivaudan,3000.0,2023-01-01 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Microélectronique & Nanotechnologies,0.0,
'05650171100115,0565017-00115,BECTON DICKINSON FRANCE,BDPHARMA.FR * BECTON DICKINSON France,3250A,Industrie,"Matériel médical, instruments scientifiques et appareils de mesure",,1969,LE PONT DE CLAIX,38317.0,Grenoble-Alpes-Métropole,1950.0,2024-12-31 00:00:00,1.0,0.0,,0.0,1.0,Drug Delivery System (DDS),0.0,,0.0,,0.0,
34145938600171,34145938-00171,STMICROELECTRONICS SA,STMICROELECTRONICS CROLLES 1 ex SGS THOMSON,2611Z,Industrie,Composants et cartes électroniques,STMICROELECTRONICS,1993,CROLLES,38140.0,CC Le Grésivaudan,1750.0,2023-01-01 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Microélectronique & Nanotechnologies,0.0,
50494133700017,50494133-00017,STMICROELECTRONICS GRENOBLE 2 SAS,STMICROELECTRONICS 210611E ex 036854N  2 éts  036854N+072464V (ex 805017)  ex  SGS THOMSON ex THOMSON,7219Z,Services aux entreprises,Recherche-développement,,1969,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,1708.0,2024-12-31 00:00:00,1.0,0.0,,0.0,0.0,Pharmacie,0.0,,1.0,Microélectronique & Nanotechnologies,0.0,
38471190900034,38471190-00034,SOITEC,SOITEC,2611Z,Industrie,Composants et cartes électroniques,,1993,BERNIN,38039.0,CC Le Grésivaudan,1677.0,2024-09-17 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Microélectronique & Nanotechnologies,0.0,
42110670900254,42110670-00254,SCHNEIDER ELECTRIC IntenCity,SCHNEIDER ELECTRIC FRANCE,2712Z,Industrie,Matériel électrique,INTENCITY,,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,1537.0,2024-12-31 00:00:00,2.0,0.0,,0.0,0.0,,1.0,Gestion de l'énergie / Matériel électrique,1.0,Electronique,0.0,
95450343901669,95450343-01669,SCHNEIDER ELECTRIC TechnoPole,SCHNEIDER ELECTRIC INDUSTRIES ELECTROPOLE 195107C,2712Z,Industrie,Matériel électrique,ELECTROPOLE,2006,EYBENS,38158.0,Grenoble-Alpes-Métropole,1230.0,2024-12-31 00:00:00,2.0,0.0,,0.0,0.0,,1.0,Gestion de l'énergie / Matériel électrique,1.0,Electronique,0.0,
71200966100075,71200966-00075,AIR LIQUIDE ADVANCED TECHNOLOGIES,AIR LIQUIDE ADVANCED Business & TECHNOLOGIES ex DTA + AXANE,2825Z,Industrie,"Machines et équipements (fabrication, installation, réparation)",,1969,SASSENAGE,38474.0,Grenoble-Alpes-Métropole,1160.0,2024-12-31 00:00:00,2.0,0.0,,0.0,0.0,,1.0,Hydrogène / Pile à combustible / Batteries,0.0,,1.0,Chimie minérale
33483570900034,33483570-00034,LYNRED,SOFRADIR,2611Z,Industrie,Composants et cartes électroniques,,1987,VEUREY VOROIZE,38540.0,Grenoble-Alpes-Métropole,1012.0,2024-01-01 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Microélectronique & Nanotechnologies,0.0,
95450343900612,95450343-00612,SCHNEIDER ELECTRIC TechnoCentre,SCHNEIDER ELECTRIC 2 éts (218132E+180621G Technopole Polytec rue Henri Tarze+1 autre éts ) ex  038462L+053942M+180621G+ 180619E  éts divers Grenoble + rue Villard de Lans,2712Z,Industrie,Matériel électrique,TECHNOPOLE,1969,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,953.0,2024-12-31 00:00:00,2.0,0.0,,0.0,0.0,,1.0,Gestion de l'énergie / Matériel électrique,1.0,Electronique,0.0,
47976684200385,47976684-00385,CAPGEMINI TECHNOLOGY SERVICES,CAPGEMINI TECHNOLOGY SERVICES ex CAPGEMINI EST EX 056006F EX CAPGEMINI ERNST ET YOUNG France DIV.RHONE ALPES,6202A,Services aux entreprises,"Informatique : ESN, logiciels, Data",,1976,MONTBONNOT SAINT MARTIN,38249.0,CC Le Grésivaudan,860.0,2024-09-17 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
'06150024500024,0615002-00024,CATERPILLAR FRANCE SAS,CATERPILLAR France 3/3 voir (Cater Naf 748K) (995 en oct 2010),2892Z,Industrie,"Machines et équipements (fabrication, installation, réparation)",,1969,ECHIROLLES,38151.0,Grenoble-Alpes-Métropole,668.0,2024-01-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
38048476600031,38048476-00031,ROCHE DIAGNOSTICS FRANCE,ROCHE DIAGNOSTICS + ROCHE DIABETES CARE France ex ROCHE DIAGNOSTICS FRANCE (Suisse) ex BOEHRINGER MANNHEIM,4646Z,Services aux entreprises,Commerce de gros,,1980,MEYLAN,38229.0,Grenoble-Alpes-Métropole,650.0,2024-01-01 00:00:00,1.0,0.0,,0.0,1.0,Diagnostic,0.0,,0.0,,0.0,
'06150024500016,0615002-00016,CATERPILLAR FRANCE SAS,CATERPILLAR France 1/3 (voir Naf 748K) (877 sal en oct 2010),2892Z,Industrie,"Machines et équipements (fabrication, installation, réparation)",,1969,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,601.0,2024-01-01 00:00:00,99.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,
51385265700016,51385265-00016,HARDIS GROUP,HARDIS GROUPE ex HARDIS PROGICIEL fusion avec Hardis International,6201Z,Services aux entreprises,"Informatique : ESN, logiciels, Data",,1984,SEYSSINET PARISET,38485.0,Grenoble-Alpes-Métropole,600.0,2024-12-17 00:00:00,1.0,0.0,,0.0,0.0,,0.0,,1.0,Informatique & Logiciels,0.0,
88804779200039,88804779-00039,VERKOR,verkor,2720Z,Industrie,Matériel électrique,,2020,GRENOBLE,38185.0,Grenoble-Alpes-Métropole,600.0,2024-12-31 00:00:00,1.0,0.0,,0.0,0.0,,1.0,,0.0,,0.0,
